Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,review,Rating
1,"London, UK",05-01-2023,05-08-2023,7,John Smith,35,Male,American,Hotel,1200,Flight,600,It is at the top of valleys mountain.  Best place to get a pleasure.  I really love the place. We can see whole Kathmandu valley from there. Best to visit there once in a life. We must visit there in life to get some Best experience in life â€¦,4
2,"Phuket, Thailand",6/15/2023,6/20/2023,5,Jane Doe,28,Female,Canadian,Resort,800,Flight,500,This place has a significant importance in Buddhism. We visited this place after sunset but will recommend all of you to visit this place during day light. And be aware of monkeys. The complex is huge yet so beautiful and serene.,2
3,"Bali, Indonesia",07-01-2023,07-08-2023,7,David Lee,45,Male,Korean,Villa,1000,Flight,700,"Visited this from the other side on a rainy evening, didn't actually visit the Temple but other end, the view was great and beautiful. It's mostly crowdy, but it's obvious from what place offers, a mesmerizing view, trees, clean air and a â€¦",3
4,"New York, USA",8/15/2023,8/29/2023,14,Sarah Johnson,29,Female,British,Hotel,2000,Flight,1000,"A beautiful temple situated in the capital with stunning vies of the city. It is such an insight into the amazing culture Nepal has to offer. There was also lots of monkeys around the temple, which provided great entertainment for the â€¦",5
5,"Tokyo, Japan",09-10-2023,9/17/2023,7,Kim Nguyen,26,Female,Vietnamese,Airbnb,700,Train,200,"great, beautiful, historic & religious place..
Crowded by visitors from all around the world.
The view point will amaze you with beautiful scenic of Kathmandu city.",5
6,"Paris, France",10-05-2023,10-10-2023,5,Michael Brown,42,Male,American,Hotel,1500,Flight,800,"The view is so pleased and pleasures that it touches directly to my soul...
Great place to visit and look after in Kathmandu, Nepal.
I will recommend to visit this place after 4PM. Evening ðŸ˜",5
7,"Sydney, Australia",11/20/2023,11/30/2023,10,Emily Davis,33,Female,Australian,Hostel,500,Flight,1200,"It is a must visit heritage site in kathmandu.
.
If you are staying in ktm, go early morning for a morning walk thing and wear â€¦",5
8,"Rio de Janeiro, Brazil",01-05-2024,01-12-2024,7,Lucas Santos,25,Male,Brazilian,Airbnb,900,Flight,600,"The Swayambhunath Stupa is one of the crowning glories of Kathmandu Valley architecture. This perfectly proportioned monument rises through a whitewashed dome to a gilded spire, from where four iconic faces of the Buddha stare out across the valley in the cardinal directions. Best place for visit.",4
9,"Amsterdam, Netherlands",2/14/2024,2/21/2024,7,Laura Janssen,31,Female,Dutch,Hotel,1200,Train,200,Itâ€™s up there but would definitely recommend doing the mini hike. It has one of the best valley views! World recommend going around sunset.,5
10,"Dubai, United Arab Emirates",03-10-2024,3/17/2024,7,Mohammed Ali,39,Male,Emirati,Resort,2500,Flight,800,One of the best stupa in Kathmandu. Its located on top of mountain so that you can enjoy Kathmandu city skyline view. There are plenty of monkeys and dogs but overall they are friendly.,5
